Rank,Sender Address,Funders Funded,Creators Funded,Total Tokens Launched,SOL Sent,Tokens Created,% of Total Tokens
16580,FhyfJANaxB4sptLvqS5uLxYJVcU2xbMqGPdtLdDUyM9d,1,1,2,0.01,2,0.1169%
16581,FiLkMi9MbunZmZfUcf19Rz3B2kKXXB2NV6XoXF3cCTQ9,1,1,2,0.01,2,0.1169%
16582,Fj9rX7P8L2e65QXhxo4KMW1pvcMjSRjzguQC8aZaq6EJ,1,1,2,0.01,2,0.1169%
16583,FjCh7cAqaBeoEaJjMGThEnQfw86YKTbzKCXu6SPzJ6jN,1,1,2,0.01,2,0.1169%
16584,Fjx8HdqcMsUR9DvCSR4MWRTMMDj9Hb6rGDk64irsoPjy,1,1,4,0.01,4,0.2338%
16585,Fk4yfnWD2SLLkzxg4SWsXHZAbgPpSwBDYcBESf6AStEP,1,1,1,0.01,1,0.0584%
16586,Fksk4xdyGm1MencQrbG8JJ4GYVo75LZuGyi9VscoBZUw,1,1,2,0.01,2,0.1169%
16587,FmL9bKvcE2H15761tyupmeKy16yatfGWic13MhFKcp5X,1,1,2,0.01,2,0.1169%
16588,FmuohSuaznVGgATC6PHdoJr16yfu25Z6Ar7QTnXw8tjP,1,1,4,0.01,4,0.2338%
16589,Fmx7azAs3MR2fULeJaNCEcHDRk38W6BqEkN6CzhSsRrJ,1,1,2,0.01,2,0.1169%
16590,FnPbp18vK67SugX3GV8RKWddFdp55P49LBdY7CTSSD8R,1,1,2,0.01,2,0.1169%
16591,FoJLaDmzSjCDZwmAZtEFNizwyokkdYiEaSU6QXYsBGRN,1,1,2,0.01,2,0.1169%
16592,FoPhmDduPhXihLA8WmNbdXNBsU5kcHnBE6jbmDmMGNJ1,1,1,2,0.01,2,0.1169%
16593,FokYamMFzBBk6A7uov1rtWbyq8BSpeByPAeyR9TBrf2d,1,1,2,0.01,2,0.1169%
16594,ForP9exPu6jYhJXnxaW1Z56sc3QkPc5dzQPjBkTQnJAT,1,1,2,0.01,2,0.1169%
16595,Fprye22CYwYeXoZfCk7vabCfc2tiSSvWQ7RME9qfUQbf,1,1,2,0.01,2,0.1169%
